Product_Name,Price,Shop_Name,Rating,Sold
FURA SEAFOOD FRESH FISH NUGGET 500GR / NAGET IKAN,Rp31.500,Bandung,5.0,100+ terjual
Nugget Ikan Ekor Kuning | BAKSO SM,Rp47.000,Jakarta Utara,5.0,90+ terjual
"Richeese Factory Chicken Nugget Crunchy Bubble Crumb 500gr, Brothermeatshop",Rp45.900,Jakarta Selatan,5.0,60+ terjual
CEDEA Fish Roll | Nugget Ikan Gulung - 250 gr,Rp15.500,Bekasi,5.0,3rb+ terjual
Smoked Beef Roll Paskali 1000 gram,Rp172.000,Bandung,5.0,100+ terjual
Fura Fish Nugget 500 gr,Rp30.250,Bogor,4.9,250+ terjual
Cedea Bakso Salmon Ball / Fish Ball 200gram / 500gram - 200gr,Rp19.900,Jakarta Selatan,5.0,50+ terjual
"PELANGI - Nugget Ikan Salmon Dairy Free, Egg Free, Halal Non MSG & Non Pengawet",Rp35.000,Depok,N/A,N/A
CEDEA Fish Roll | Nugget Ikan Gulung - 250 gr,Rp14.500,Jakarta Barat,4.9,70+ terjual
Fish Nugget Seafood Lovers,Rp31.000,Jakarta Barat,5.0,18 terjual
KANZLER Crispy Chicken Nugget Stick Ayam 450 gram,Rp38.000,Kab. Tangerang,N/A,N/A
Kaki Naga / Nugget Bento Ayam Ikan isi 10 Frozen Siap Masak,Rp26.520,Bekasi,5.0,250+ terjual
Nugget ikan Coin ( isi 24 ),Rp9.500,Medan,5.0,30+ terjual
CEDEA Fish Roll | Nugget Ikan Gulung - 250 gr,Rp14.500,Depok,5.0,100+ terjual
"Fish Nugget D'MAMAM HACCP, BPOM & HALAL MUI",Rp45.000,Bogor,5.0,50+ terjual
Frozen Nugget Ikan Lele homemade/Tanpa Pengawet/Tanpa MSG,Rp27.000,Depok,4.9,250+ terjual
NUGGET IKAN TENGGIRI UNTUK BALITA (CATERING MAKANAN BAYI MPASI FROZEN),Rp40.000,Depok,4.9,500+ terjual
CEDEA Fish Roll | Nugget Ikan Gulung - 250 gr,Rp14.500,Bekasi,5.0,250+ terjual
Fish n Cheese Nugget Roku Bento - Naget Ikan Keju isi 15 Pcs,Rp68.000,Jakarta Pusat,5.0,500+ terjual
N/A,N/A,N/A,N/A,N/A
Fura Seafood Fish Nugget / Karage / Cheesy Fish Finger 500 Gram,Rp19.550,Tangerang Selatan,4.9,1rb+ terjual
